"Start (UTC)","V_avg (km/s)","Duration (s)","Peak (abs mag)","Stations","LonBeg","LatBeg","Ht_beg (km)","LonEnd","LatEnd","Ht_end (km)","Shower","Radiant RA","Radiant DEC"
" 2023-08-12 07:09:37.900171","  59.76311","     0.57","  -1.61"," US0035,US003Q,US003R","   -78.850548","    39.231287"," 113.4692","   -79.024046","    39.102161","  90.1420","Perseids","  48.58401"," +56.03069"
" 2023-08-12 07:10:44.976774","  56.55822","     0.46","  -1.53"," CA000F,CA000U","   -74.014155","    47.212024"," 109.9446","   -74.165946","    47.136610","  87.7387","Perseids","  46.68289"," +56.50435"
" 2023-08-12 07:10:54.327880","  39.15307","     0.41","  +0.01"," US0003,US000H,US000J","  -107.681200","    34.807262","  98.4402","  -107.761485","    34.902639","  89.3207","Southern delta Aquariids"," 348.94902"," -14.32056"
" 2023-08-12 07:10:56.040363","  63.15653","     0.33","  -1.08"," US0038,US003P","   -77.748061","    38.626476"," 113.6051","   -77.871316","    38.581016","  96.7831","...","  37.74171"," +44.52642"
" 2023-08-12 07:11:12.891328","  60.84416","     0.40","  -1.38"," US0006,US000A,US000C,US000H,US0030","  -105.188347","    35.543051"," 111.1204","  -105.315352","    35.461597","  92.3274","AXC","  12.43500"," +50.20958"
" 2023-08-12 07:11:13.755817","  57.65522","     0.28","  -1.21"," CA000B,CA002Q","   -69.811427","    46.722623"," 107.7068","   -69.891750","    46.677548","  93.6190","Perseids","  44.42511"," +57.99834"
" 2023-08-12 07:14:46.835691","  57.99323","     0.33","  -2.27"," CA0022,US0031","   -71.441872","    45.163391"," 107.8259","   -71.537938","    45.098745","  91.7429","Perseids","  48.62692"," +59.37437"
" 2023-08-12 07:14:47.126014","  57.51897","     0.33","  -0.87"," US0035,US003M","   -78.201803","    40.637883"," 109.6908","   -78.298988","    40.565171","  95.1453","Perseids","  46.44664"," +57.35399"
" 2023-08-12 07:18:43.242496","  69.07307","     0.20","  +0.21"," US0006,US0030","  -104.779807","    35.374599"," 108.7393","  -104.867282","    35.302820"," 100.9784","...","  44.00059"," +53.40841"
" 2023-08-12 07:18:44.746571","  71.06027","     0.32","  +1.83"," US000C,US0030","  -105.970991","    34.640374"," 113.6658","  -106.146093","    34.553728"," 103.7049","ANP","  44.98161"," +39.56322"
" 2023-08-12 07:19:12.064267","  26.42678","     0.36","  +1.77"," US0038,US0039,US003N","   -77.476946","    39.288830","  90.3349","   -77.423782","    39.339378","  84.2246","..."," 321.45549","  -5.37690"
" 2023-08-12 07:19:23.043286","  40.24902","     0.45","  +0.11"," US001N,US002A","   -70.502685","    42.114050"," 100.0421","   -70.443512","    42.078029","  85.4021","..."," 326.83900"," +53.15350"
" 2023-08-12 07:19:39.867093","  55.81937","     0.89","  -1.04"," US0035,US0038,US003M,US003N,US003R","   -77.856224","    40.176956"," 110.8247","   -78.252458","    39.912483","  90.5196","...","  88.92187"," +45.96277"
" 2023-08-12 07:20:34.441490","  58.79299","     0.30","  -1.40"," US001N,US002A","   -69.721519","    42.260067"," 107.7229","   -69.800407","    42.203419","  92.6723","Perseids","  44.49938"," +57.49149"
" 2023-08-12 07:21:28.441801","  41.50695","     0.44","  -1.38"," US001Q,US0027","  -117.471646","    32.927231","  94.5267","  -117.553446","    32.980596","  83.7352","Northern delta Aquariids"," 345.31055","  +2.54579"
" 2023-08-12 07:22:53.150133","  68.17264","     0.52","  -1.23"," US0036,US0037,US0039,US003N","   -76.291429","    39.024522"," 113.2695","   -76.598067","    39.144972","  94.8380","...","  44.25349","  +1.34023"
" 2023-08-12 07:23:04.600201","  59.47345","     0.61","  -1.12"," US0003,US000J,US000R","  -108.261725","    35.055827"," 112.6658","  -108.476056","    34.844470","  93.5794","Perseids","  47.62735"," +56.78535"
" 2023-08-12 07:23:24.532018","  65.90042","     0.45","  -2.00"," CA000F,CA000U","   -73.103856","    47.123313"," 107.3612","   -73.419500","    47.194727","  91.4873","...","  53.40211"," +11.42218"
" 2023-08-12 07:23:29.490792","  57.67810","     0.28","  -0.65"," US0038,US003P","   -77.521420","    38.663354"," 109.6182","   -77.602815","    38.595151","  97.1604","Perseids","  49.25460"," +57.86530"
" 2023-08-12 07:23:37.372504","  55.79231","     0.20","  -0.88"," US001N,US002A","   -69.335066","    41.500285"," 105.0616","   -69.379856","    41.466014","  96.0513","Perseids","  43.81204"," +57.65844"
" 2023-08-12 07:23:49.361978","  59.83196","     0.20","  -1.15"," US001N,US002A","   -69.527048","    42.249714"," 106.6972","   -69.581554","    42.210356","  96.1974","Perseids","  45.16288"," +57.53351"
" 2023-08-12 07:23:58.054106","  57.84003","     0.25","  -1.80"," CA000F,CA000Q,CA000R,CA001X","   -72.892923","    45.846088"," 107.5773","   -72.953035","    45.809588","  96.9639","Perseids","  45.12602"," +58.33783"
" 2023-08-12 07:24:17.388139","  62.18771","     0.21","  +0.10"," US0039,US003N","   -76.930648","    39.446146"," 109.7702","   -76.992838","    39.413915","  99.0164","...","  36.43329"," +50.05108"
" 2023-08-12 07:25:09.232315","  38.54325","     0.72","  -0.83"," US000C,US000H,US000K,US000M,US0030","  -105.976975","    34.320847","  99.4597","  -106.089228","    34.494273","  84.0525","AOA"," 349.19415"," -17.25192"
" 2023-08-12 07:25:32.332572","  60.00248","     0.36","  -1.31"," US001U,US001V","  -101.218205","    42.990380"," 108.8100","  -101.360083","    42.889691","  94.6934","Perseids","  48.33198"," +56.15492"
" 2023-08-12 07:25:38.522762","  26.06083","     1.81","  +0.48"," NZ0008,NZ000W,NZ0018","   174.860759","   -41.106885","  98.6660","   174.365183","   -41.087919","  78.6674","..."," 320.94982"," -16.56167"
" 2023-08-12 07:26:15.273599","  58.64734","     0.58","  -1.51"," US001U,US001V","  -100.676480","    43.457609"," 114.1255","  -100.867370","    43.313651","  92.5525","Perseids","  45.43257"," +58.52163"
" 2023-08-12 07:26:48.961205","  59.35657","     0.37","  -1.88"," CA000F,CA0022","   -71.924563","    45.464906"," 109.0666","   -72.030563","    45.404214","  90.6604","Perseids","  46.20358"," +57.11155"
" 2023-08-12 07:27:26.526039","  27.33453","     0.50","  +1.16"," US0003,US0005,US000C,US000J,US000K","  -106.895991","    34.561058","  91.8100","  -106.863522","    34.503116","  81.0198","..."," 291.30465"," +62.83410"
" 2023-08-12 07:27:38.790225","  21.35782","     1.51","  -2.22"," US0005,US0009,US000H","  -107.036615","    33.446016","  94.7143","  -106.876826","    33.368410","  68.8649","..."," 278.60457"," +43.18695"
" 2023-08-12 07:28:40.824167","  18.66264","     0.40","  +1.28"," US0005,US000A,US000J","  -107.124662","    35.007956","  83.9237","  -107.092350","    35.038571","  77.9080","..."," 298.59801","  +1.47481"
" 2023-08-12 07:28:52.831626","  59.37310","     0.32","  -2.04"," US003L,USN005","   -87.702076","    33.515363"," 108.4484","   -87.794588","    33.417413","  95.0923","Perseids","  44.90892"," +58.88572"
" 2023-08-12 07:30:04.191086","  57.47472","     0.32","  -1.31"," CA000F,CA0022","   -72.597433","    45.140630"," 104.9996","   -72.670522","    45.088384","  91.7134","Perseids","  48.34613"," +60.22628"
" 2023-08-12 07:30:13.459311","  61.72823","     0.36","  -1.65"," CA000F,CA001R","   -75.049672","    45.542241"," 110.1449","   -75.158253","    45.484182","  93.2683","Perseids","  47.97793"," +56.14491"
